Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,crime_12m,crime_rank,crime_risk_score
Gooandra,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Good Hope,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Goolhi,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merah North,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mernot,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Meroo,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merotherie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merriangaah,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merricumbene,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merrigal,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wilpinjong,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Winburndale,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Windermere,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Banoon,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Windowie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bangadang,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Merrill,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Glenrock,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gloucester Tops,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Goat Island,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gobarralong,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Godfreys Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Meryla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Methul,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Miamley,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Widgelli,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Barigan,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Barragga Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Barren Grounds,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Barretts Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wild Cattle Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Glenmore,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Middle Falbrook,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Milkers Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Millah Murrah,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Glen Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Glen Fergus,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Glen Ward,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Millie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mirannie,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Wetuppa,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Bassendean,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Whoota,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Ginghi,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Giro,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gidginbung,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gilgunnia,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gilmandyke,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mogilla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mogo (Mid-Western Regional),0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Mograni,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gearys Flat,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Gemalla,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Georges Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
Georgica,0,0,0,0,0,0,0,0,0,0,0,0,0,3865.0,100.0
