suburb_code,suburb_name,IRSD_score,IRSD_decile,IRSAD_score,IRSAD_decile
10501,Boorowa,977.1801769,3,953.1272226,4
10502,Bootawa,1012.850215,5,976.5478756,5
10504,Booyong,1058.470945,8,1062.486762,9
10505,Bora Ridge,945.5188935,2,911.4835674,2
10506,Borah Creek,1048.300637,8,1023.781045,8
10507,Borambola,1073.233587,9,1034.498014,8
10509,Boree,1125.372551,10,1110.753832,10
10510,Boree Creek,957.7872997,3,949.5552974,3
10511,Borenore,1107.472876,10,1095.767221,10
10512,Boro,1058.311333,8,1048.263437,9
10513,Bossley Park,888.0090601,1,934.6265402,3
10514,Bostobrick,1000.232233,5,961.7806996,4
10515,Botany,1053.289392,8,1082.014584,10
10516,Botobolar,1025.489982,6,967.2942628,4
10517,Bottle Creek,925.3350073,2,921.7741272,2
10519,Bourbah,1087.886868,10,1080.031713,10
10520,Bourke,913.1245025,2,925.3174378,2
10521,Bourkelands,1070.450037,9,1042.925505,9
10522,Bournda,1077.127655,9,998.0069154,6
10523,Bournewood,1072.680873,9,1042.248124,9
10524,Bow Bowing,1001.084713,5,984.2650516,5
10525,Bowan Park,1125.372551,10,1110.753832,10
10526,Bowen Mountain,1056.798838,8,1030.596245,8
10527,Bowenfels,778.2059125,1,801.5270599,1
10528,Bowling Alley Point,967.4610024,3,939.2787338,3
10529,Bowman,991.9511476,4,977.7417333,5
10530,Bowman Farm,991.9511476,4,977.7417333,5
10531,Bowmans Creek,1041.470966,7,1006.545939,7
10532,Bowna,1090.189308,10,1074.459744,10
10533,Bowning,1022.623088,6,1004.764441,7
10534,Bowral,1062.011548,8,1062.887384,9
10535,Bowraville,823.1203479,1,816.266784,1
10537,Box Hill (NSW),1104.030611,10,1149.941191,10
10538,Boxers Creek,976.1786403,3,964.4959294,4
10539,Boydtown,992.6217161,4,940.0256664,3
10540,Bradbury (NSW),937.0613745,2,928.9667947,3
10541,Braefield,1057.109188,8,1019.907251,7
10542,Braemar,1036.872833,7,1021.311669,7
10543,Braemar Bay,1055.172161,8,1017.954397,7
10544,Braidwood,1017.02471,6,995.3311829,6
10545,Brandy Hill,1062.822758,9,1044.462356,9
10546,Branxton,1040.901024,7,1005.536329,7
10547,Braunstone,970.6612964,3,946.0060356,3
10548,Brawboy,896.7655767,1,902.6454195,2
10549,Bray Park (NSW),890.0286963,1,871.9695841,1
10550,Brays Creek,966.4675038,3,948.8747623,3
10551,Brayton,1023.040296,6,1007.654905,7
10552,Breadalbane (NSW),1086.590061,10,1073.661755,10
10553,Breakfast Creek,1028.828477,6,1001.526956,6
10554,Breakfast Point,1082.571112,10,1134.187896,10
10555,Bream Beach,1067.718607,9,1040.355017,8
