Suburb,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025
Belmore,51,55,55,53,45,56,33,35,74,57,60,51
Belmore River,0,4,1,3,0,1,1,4,1,1,2,0
Beloka,0,0,0,0,0,0,0,0,0,0,0,0
Belowra,1,0,0,0,0,0,0,0,0,0,0,0
Belrose,18,22,15,14,11,18,17,9,14,23,24,20
Bemboka,3,0,6,1,5,0,4,1,1,1,0,2
Ben Bullen,0,0,0,1,1,4,0,0,1,0,0,0
Ben Lomond,0,0,0,0,1,0,1,3,1,0,1,0
Benandarah,0,0,2,0,0,0,3,0,0,0,3,4
Bendalong,0,2,0,0,0,4,1,0,0,1,1,0
Bendemeer,1,0,1,2,0,2,2,2,2,3,2,2
Bendick Murrell,0,1,0,0,0,0,0,0,0,0,0,2
Bendolba,0,0,0,2,0,0,0,0,1,0,0,0
Bendoura,0,0,0,0,1,1,0,0,0,0,1,0
Benerembah,2,0,0,2,0,1,4,0,0,0,1,0
Bengalla,0,0,0,0,0,0,0,0,1,0,0,0
Bennetts Green,3,2,2,4,7,8,4,6,9,3,5,2
Benolong,0,0,0,0,1,0,0,0,0,0,0,2
Bensville,0,3,0,0,3,3,6,5,2,6,0,3
Bentley,3,1,1,1,0,0,0,0,0,0,3,0
Berala,20,23,25,22,13,38,29,24,20,22,24,20
Berambing,0,1,0,2,0,1,0,2,0,0,0,0
Beresfield,55,41,40,40,28,28,49,33,41,47,33,37
Bergalia,0,3,1,1,1,1,0,0,0,0,0,0
Berkeley,62,62,64,79,108,55,67,57,83,55,47,52
Berkeley Vale,44,24,26,14,28,33,36,26,26,37,28,24
Berkshire Park,5,5,5,17,6,12,12,8,14,10,7,16
Berlang,0,0,0,0,0,0,0,0,0,0,0,0
Bermagui,2,15,12,5,13,5,23,9,10,8,5,12
Berowra,9,9,12,6,18,14,16,12,6,13,5,9
Berowra Heights,4,5,8,9,4,10,5,2,6,5,9,0
Berowra Waters,0,0,0,0,0,0,0,0,1,0,1,0
Berrambool,1,3,4,3,3,1,0,1,2,0,0,1
Berrara,0,1,0,0,0,1,0,0,1,0,0,1
Berremangra,1,0,0,0,0,0,0,0,1,0,0,0
Berrico,0,0,0,0,0,0,0,0,0,0,0,0
Berridale,8,3,8,11,5,1,0,5,4,1,3,3
Berrigal,0,0,0,0,1,0,0,0,0,0,0,0
Berrigan,2,4,7,9,5,12,7,8,2,4,6,6
Berrilee,2,0,0,1,0,0,0,0,0,0,0,0
Berrima,1,5,2,1,0,1,0,0,4,0,8,1
Berringer Lake,0,0,0,0,0,0,0,0,0,0,0,0
Berry,8,6,4,8,4,8,8,10,14,7,8,7
Berry Jerry,0,0,0,0,0,0,0,0,0,0,0,0
Berry Mountain,0,3,0,0,0,0,0,0,0,0,0,0
Berry Park,0,0,0,0,2,1,0,1,0,0,0,0
Berthong,0,0,0,1,0,0,0,0,0,0,0,0
Beryl,2,0,0,0,0,0,1,0,0,0,0,1
Bethungra,2,0,1,0,1,0,0,1,0,1,0,0
Bevendale,0,0,0,0,0,2,0,0,0,0,0,0
Beverley Park,1,6,4,10,2,5,3,5,2,12,3,3
Beverly Hills,39,51,21,43,33,24,27,38,26,17,31,30
Bewong,0,1,0,0,1,0,3,0,2,0,0,0
Bexhill,0,0,2,0,1,1,1,2,2,0,2,1
Bexley,57,42,35,37,44,47,69,36,38,64,45,40
Bexley North,8,16,6,8,6,17,5,7,17,9,11,11
Biala,0,0,0,1,0,0,0,0,0,0,0,0
Bibbenluke,0,0,0,0,0,0,0,0,0,0,0,0
Biddon,0,0,0,0,3,1,1,2,0,0,0,0
Bidgeemia,0,0,0,0,0,0,0,0,0,0,0,0
Bidwill,51,85,68,60,91,71,79,54,74,73,53,38
Bielsdown Hills,1,0,0,0,0,0,0,0,0,0,0,0
Big Hill,0,0,0,0,0,0,0,0,0,0,0,0
Big Jacks Creek,1,0,0,0,0,0,1,0,0,0,0,1
Big Ridge,0,1,0,0,0,0,0,0,0,0,0,0
Big Springs,0,0,0,0,0,0,0,0,1,0,0,0
Bigga,2,5,1,2,2,0,1,2,0,1,1,5
Bilambil,2,0,0,0,1,2,1,4,0,1,0,0
Bilambil Heights,9,1,4,3,1,3,6,7,4,6,7,11
Bilbul,3,2,2,1,5,0,9,1,3,0,3,5
Bilgola Beach,0,0,0,0,0,0,1,0,2,0,0,0
Bilgola Plateau,0,4,2,3,1,3,4,2,2,4,5,1
Billeroy,0,0,0,0,0,0,0,0,0,0,0,0
Billilingra,0,0,0,0,0,0,0,0,0,0,0,1
Billimari,1,0,1,0,0,0,0,0,0,0,0,0
Billinudgel,0,3,3,2,1,1,4,2,3,1,2,0
Billys Creek,0,0,1,0,1,0,0,0,0,0,0,0
Billywillinga,0,0,0,0,0,0,2,0,0,1,0,0
Bilpin,3,1,1,6,1,2,2,0,3,0,0,3
Bimbi,0,0,0,0,0,0,0,0,0,1,0,1
Bimbimbie,0,1,0,1,0,0,0,0,0,0,0,0
Binalong,3,5,0,4,2,0,2,0,0,3,1,0
Binda,7,2,6,0,3,0,0,1,1,0,0,0
Bindera,0,1,0,1,0,0,1,0,0,0,0,0
Bingara,7,6,8,6,14,3,6,3,10,6,6,7
Bingeebeebra Creek,0,0,0,0,0,0,0,0,0,0,0,0
Bingie,0,0,0,0,0,1,0,0,0,4,0,0
Bingleburra,0,0,0,0,0,0,0,0,0,0,0,0
Biniguy,0,0,0,0,0,1,0,0,0,0,0,0
Binjura,1,0,0,0,0,0,0,1,0,0,0,0
Binna Burra,0,0,0,2,0,0,0,0,0,0,1,0
Binnaway,14,4,5,3,4,5,13,0,8,9,3,3
Binya,1,0,1,0,2,2,1,0,3,0,0,0
Birchgrove,5,17,18,11,4,6,6,7,6,9,17,5
Birdwood,0,0,0,0,0,0,0,0,0,0,0,0
Birganbigil,0,0,1,0,0,0,0,0,0,0,0,0
